Group,Group.1,ANS,INA,IOB,MT,NAW,NBC,NO,PBD,PZT,ZS,,
AmericanBlack,AmericanBlack,2,2,3,2,2,3,0,1,1,2,,
AmericanBlack,AmericanBlack,1,1,1,1,2,0,0,0,2,2,,
AmericanBlack,AmericanBlack,2,3,2,3,3,1,0,0,2,2,,
AmericanBlack,AmericanBlack,1,1,3,1,3,0,0,0,3,1,,
AmericanBlack,AmericanBlack,2,1,3,3,3,0,1,1,2,2,,
AmericanBlack,AmericanBlack,1,1,3,2,2,0,0,0,1,2,,
AmericanBlack,AmericanBlack,1,1,2,2,2,2,0,0,2,2,,
AmericanBlack,AmericanBlack,1,1,3,1,3,3,1,0,3,2,,
AmericanBlack,AmericanBlack,3,1,3,3,3,0,0,0,,1,,
AmericanBlack,AmericanBlack,1,1,2,2,3,0,1,1,2,2,,
AmericanBlack,AmericanBlack,2,1,3,1,2,2,0,0,,1,,
AmericanBlack,AmericanBlack,1,1,3,1,3,1,1,1,1,,,
AmericanBlack,AmericanBlack,1,1,3,3,2,0,1,1,3,2,,
AmericanBlack,AmericanBlack,1,1,3,2,2,2,1,1,2,,,
AmericanBlack,AmericanBlack,1,1,2,1,3,0,0,1,,0,,
AmericanBlack,AmericanBlack,1,1,2,3,2,2,0,0,,2,,
AmericanBlack,AmericanBlack,1,2,2,3,2,1,1,0,1,2,,
AmericanBlack,AmericanBlack,3,2,2,2,2,1,0,0,2,2,,
AmericanBlack,AmericanBlack,1,1,3,3,3,0,1,0,2,1,,
AmericanBlack,AmericanBlack,1,1,3,2,2,0,0,1,1,2,,
AmericanBlack,AmericanBlack,1,1,2,3,2,3,0,0,1,1,,
AmericanBlack,AmericanBlack,1,1,2,1,3,1,1,1,3,1,,
AmericanBlack,AmericanBlack,1,1,2,2,2,2,0,1,1,1,,
AmericanBlack,AmericanBlack,1,3,3,2,3,0,0,0,2,1,,
AmericanBlack,AmericanBlack,1,1,3,1,2,0,0,1,2,2,,
AmericanBlack,AmericanBlack,1,1,3,2,3,1,0,0,3,1,,
AmericanBlack,AmericanBlack,2,2,1,1,2,1,0,0,3,2,,
AmericanBlack,AmericanBlack,2,3,2,2,2,4,1,1,3,2,,
AmericanBlack,AmericanBlack,1,1,3,1,3,2,1,0,3,2,,
AmericanBlack,AmericanBlack,3,3,3,3,2,1,0,1,2,1,,
AmericanBlack,AmericanBlack,2,2,2,1,2,1,1,1,1,2,,
AmericanBlack,AmericanBlack,2,1,1,2,2,3,1,0,1,2,,
AmericanBlack,AmericanBlack,1,1,3,1,2,1,,0,1,,,
AmericanBlack,AmericanBlack,1,2,2,3,1,1,0,1,3,2,,
AmericanBlack,AmericanBlack,1,2,3,1,3,2,,1,1,2,,
AmericanBlack,AmericanBlack,2,4,2,1,2,0,0,1,2,1,,
AmericanBlack,AmericanBlack,1,1,3,1,3,0,0,,,2,,
AmericanBlack,AmericanBlack,1,1,2,2,2,2,0,0,2,2,,
AmericanBlack,AmericanBlack,1,1,3,1,3,0,0,1,1,2,,
AmericanBlack,AmericanBlack,3,2,3,1,3,0,0,0,3,0,,
AmericanBlack,AmericanBlack,2,1,2,1,2,2,1,1,3,2,,
AmericanBlack,AmericanBlack,1,3,3,1,3,0,0,0,,,,
AmericanBlack,AmericanBlack,1,1,2,3,3,3,1,1,,,,
AmericanBlack,AmericanBlack,1,1,1,3,2,2,0,0,2,1,,
AmericanBlack,AmericanBlack,1,1,3,2,3,0,0,0,1,1,,
AmericanBlack,AmericanBlack,1,1,3,2,3,0,0,0,1,1,,
AmericanBlack,AmericanBlack,1,1,2,3,2,1,0,0,3,,,
AmericanBlack,AmericanBlack,3,2,3,2,3,0,0,,2,,,
AmericanBlack,AmericanBlack,1,2,2,2,1,4,1,0,,2,,
AmericanBlack,AmericanBlack,1,3,2,1,3,0,1,0,1,0,,
AmericanBlack,AmericanBlack,1,1,2,1,3,0,0,1,3,2,,
AmericanBlack,AmericanBlack,1,1,2,1,3,1,1,1,1,2,,
AmericanBlack,AmericanBlack,1,1,2,1,2,3,0,0,,2,,
AmericanBlack,AmericanBlack,1,1,3,3,3,0,0,1,1,2,,
AmericanBlack,AmericanBlack,1,1,3,2,3,0,0,0,,,,
AmericanBlack,AmericanBlack,1,1,3,2,3,0,0,0,2,1,,
AmericanBlack,AmericanBlack,1,1,3,3,2,0,0,0,,2,,
AmericanBlack,AmericanBlack,1,1,3,2,3,0,0,1,3,2,,
AmericanBlack,AmericanBlack,1,3,2,1,3,0,0,0,1,2,,
AmericanBlack,AmericanBlack,1,1,3,3,3,0,0,,,0,,
AmericanBlack,AmericanBlack,3,1,3,1,3,2,1,1,2,,,
AmericanBlack,AmericanBlack,2,4,2,1,2,1,0,0,1,0,,
AmericanBlack,AmericanBlack,1,2,2,2,2,1,0,0,2,1,,
AmericanBlack,AmericanBlack,1,1,3,3,3,0,0,,,0,,
AmericanBlack,AmericanBlack,1,1,2,1,3,3,1,1,2,2,,
AmericanBlack,AmericanBlack,1,2,2,3,2,1,0,1,2,2,,
AmericanBlack,AmericanBlack,3,2,1,3,1,3,1,0,1,2,,
AmericanBlack,AmericanBlack,1,1,1,1,2,0,1,0,2,2,,
AmericanBlack,AmericanBlack,2,2,3,1,3,0,0,0,3,2,,
AmericanBlack,AmericanBlack,1,1,3,1,2,0,0,1,1,1,,
AmericanBlack,AmericanBlack,3,2,3,2,3,,,,2,1,,
AmericanBlack,AmericanBlack,1,2,3,1,2,4,0,1,1,2,,
AmericanBlack,AmericanBlack,1,1,2,1,3,1,0,0,1,2,,
AmericanBlack,AmericanBlack,1,1,2,2,2,2,0,1,2,2,,
AmericanBlack,AmericanBlack,1,1,1,2,2,0,0,1,1,,,
AmericanBlack,AmericanBlack,1,2,3,2,3,0,1,0,1,1,,
AmericanBlack,AmericanBlack,1,1,3,2,3,0,0,0,,1,,
AmericanBlack,AmericanBlack,1,1,3,2,3,0,0,0,1,,,
AmericanBlack,AmericanBlack,1,1,2,1,2,0,0,0,1,1,,
AmericanBlack,AmericanBlack,3,3,2,1,1,3,0,0,1,1,,
AmericanBlack,AmericanBlack,1,1,2,2,3,0,,0,,1,,
AmericanBlack,AmericanBlack,3,3,3,3,3,0,,0,2,2,,
AmericanBlack,AmericanBlack,2,2,2,3,3,0,0,0,1,2,,
AmericanBlack,AmericanBlack,2,3,3,1,2,0,1,1,2,1,,
AmericanBlack,AmericanBlack,1,1,3,1,3,0,0,1,1,1,,
AmericanBlack,AmericanBlack,2,2,1,1,2,3,0,,2,1,,
AmericanBlack,AmericanBlack,1,2,2,1,2,0,1,0,1,2,,
AmericanBlack,AmericanBlack,2,1,1,3,2,2,1,1,2,,,
AmericanBlack,AmericanBlack,1,1,1,1,2,4,0,1,2,1,,
AmericanBlack,AmericanBlack,1,1,3,1,3,0,1,0,2,2,,
AmericanBlack,AmericanBlack,1,1,3,1,3,0,1,0,1,1,,
AmericanBlack,AmericanBlack,1,1,3,1,3,0,0,1,3,,,
AmericanBlack,AmericanBlack,1,1,1,1,3,1,0,1,1,1,,
AmericanBlack,AmericanBlack,1,1,3,1,3,1,0,0,1,1,,
AmericanBlack,AmericanBlack,1,1,3,2,3,0,1,1,2,2,,
AmericanBlack,AmericanBlack,1,1,3,3,3,0,1,0,2,1,,
AmericanBlack,AmericanBlack,1,4,3,1,3,0,0,,2,1,,
AmericanBlack,AmericanBlack,1,1,2,1,3,0,0,0,1,1,,
AmericanBlack,AmericanBlack,1,1,3,1,3,3,0,0,1,2,,
AmericanBlack,AmericanBlack,2,1,1,2,2,3,1,0,3,1,,
AmericanBlack,AmericanBlack,1,1,2,1,2,0,0,0,3,2,,
AmericanBlack,AmericanBlack,2,3,1,1,1,4,,0,1,,,
AmericanBlack,AmericanBlack,1,1,3,1,2,0,0,1,1,,,
AmericanBlack,AmericanBlack,1,1,3,3,3,0,0,0,3,0,,
AmericanBlack,AmericanBlack,1,1,2,1,3,0,0,1,1,2,,
AmericanBlack,AmericanBlack,2,1,2,2,3,3,1,1,2,2,,
AmericanBlack,AmericanBlack,1,2,1,1,2,1,1,0,2,1,,
AmericanBlack,AmericanBlack,1,1,2,1,3,0,0,0,1,2,,
AmericanBlack,AmericanBlack,2,3,2,2,1,4,0,0,1,1,,
AmericanBlack,AmericanBlack,1,2,3,1,3,0,1,0,1,1,,
AmericanBlack,AmericanBlack,1,1,2,3,3,0,0,1,3,1,,
AmericanBlack,AmericanBlack,2,3,2,3,1,4,,0,3,2,,
AmericanBlack,AmericanBlack,1,1,3,3,3,1,0,0,2,0,,
AmericanBlack,AmericanBlack,1,1,3,1,3,0,0,0,3,2,,
AmericanBlack,AmericanBlack,1,1,3,3,2,0,0,1,,2,,
AmericanBlack,AmericanBlack,1,4,3,3,3,0,0,1,2,,,
AmericanBlack,AmericanBlack,1,1,3,3,3,0,1,1,1,1,,
AmericanBlack,AmericanBlack,2,2,3,3,2,2,0,,2,1,,
AmericanBlack,AmericanBlack,3,1,2,3,2,0,,0,1,2,,
AmericanBlack,AmericanBlack,1,2,3,1,3,0,0,0,2,2,,
AmericanBlack,AmericanBlack,1,3,3,1,2,0,0,1,2,0,,
AmericanBlack,AmericanBlack,1,1,2,2,3,4,1,,3,,,
AmericanBlack,AmericanBlack,1,1,2,2,2,0,0,0,1,2,,
AmericanBlack,AmericanBlack,1,1,2,1,2,0,1,1,2,1,,
AmericanBlack,AmericanBlack,1,1,2,1,3,1,0,1,2,2,,
AmericanBlack,AmericanBlack,1,1,3,2,3,0,0,0,2,2,,
AmericanBlack,AmericanBlack,1,3,3,1,2,3,1,0,1,2,,
AmericanBlack,AmericanBlack,1,1,3,1,3,0,0,1,,2,,
AmericanBlack,AmericanBlack,1,2,1,1,2,3,1,,2,1,,
AmericanBlack,AmericanBlack,1,3,3,1,3,0,0,0,1,2,,
AmericanBlack,AmericanBlack,1,1,3,1,3,0,0,0,2,2,,
AmericanBlack,AmericanBlack,1,1,2,2,2,0,1,0,2,,,
AmericanBlack,AmericanBlack,1,1,2,3,2,2,0,1,3,2,,
AmericanBlack,AmericanBlack,1,1,3,2,3,0,0,1,2,1,,
AmericanBlack,AmericanBlack,1,1,3,1,3,0,0,0,2,2,,
AmericanBlack,AmericanBlack,3,3,1,1,2,1,0,1,1,2,,
AmericanBlack,AmericanBlack,1,1,2,3,3,0,0,,3,2,,
AmericanBlack,AmericanBlack,1,2,1,3,2,2,0,1,3,2,,
AmericanBlack,AmericanBlack,1,4,3,1,3,0,0,1,1,2,,
AmericanBlack,AmericanBlack,1,1,1,1,2,1,0,1,,1,,
AmericanBlack,AmericanBlack,1,1,2,2,3,0,1,,3,1,,
AmericanBlack,AmericanBlack,1,1,2,1,3,0,1,1,1,1,,
AmericanBlack,AmericanBlack,1,1,3,3,3,0,0,0,3,,,
AmericanBlack,AmericanBlack,1,1,3,2,3,0,0,,,2,,
AmericanBlack,AmericanBlack,1,1,3,1,3,3,0,0,1,1,,
AmericanBlack,AmericanBlack,1,1,2,2,3,0,0,,,2,,
AmericanBlack,AmericanBlack,1,4,2,1,2,0,,0,1,,,
AmericanBlack,AmericanBlack,1,1,3,2,3,1,1,,1,2,,
AmericanBlack,AmericanBlack,2,3,2,2,3,2,0,1,2,2,,
AmericanBlack,AmericanBlack,1,1,3,1,3,0,1,0,2,,,
AmericanBlack,AmericanBlack,1,4,1,2,2,1,0,1,2,2,,
AmericanBlack,AmericanBlack,1,2,2,1,2,0,0,1,2,0,,
AmericanBlack,AmericanBlack,2,2,3,1,3,0,0,1,1,0,,
AmericanBlack,AmericanBlack,2,1,2,1,2,1,1,0,2,1,,
AmericanBlack,AmericanBlack,2,3,3,1,2,2,1,0,1,2,,
AmericanBlack,AmericanBlack,3,2,2,3,2,1,1,0,1,1,,
AmericanBlack,AmericanBlack,2,4,3,1,2,3,1,1,2,0,,
AmericanBlack,AmericanBlack,2,4,3,3,2,3,0,1,2,0,,
AmericanBlack,AmericanBlack,2,5,3,1,3,3,0,0,1,,,
AmericanBlack,AmericanBlack,2,2,2,3,2,1,1,1,2,,,
AmericanBlack,AmericanBlack,1,3,2,3,2,1,0,0,1,,,
AmericanBlack,AmericanBlack,2,1,2,2,3,1,0,0,1,1,,
AmericanBlack,AmericanBlack,2,2,3,2,3,1,1,1,3,0,,
AmericanBlack,AmericanBlack,1,4,3,1,3,0,0,0,0,0,,
AmericanBlack,AmericanBlack,3,4,3,2,2,1,1,1,3,0,,
AmericanBlack,AmericanBlack,1,3,3,1,3,0,1,1,1,1,,
AmericanBlack,AmericanBlack,2,3,3,1,2,1,1,1,1,0,,
AmericanBlack,AmericanBlack,1,3,3,2,2,1,0,1,1,1,,
AmericanBlack,AmericanBlack,3,2,2,2,3,1,0,0,3,0,,
AmericanBlack,AmericanBlack,2,3,2,1,2,1,1,1,1,2,,
AmericanBlack,AmericanBlack,3,3,3,2,2,2,1,0,2,1,,
AmericanBlack,AmericanBlack,3,4,2,1,2,1,0,0,2,1,,
AmericanBlack,AmericanBlack,2,2,2,1,3,1,1,1,1,1,,
AmericanBlack,AmericanBlack,2,2,3,1,3,0,0,0,1,2,,
AmericanBlack,AmericanBlack,2,1,1,2,2,1,0,1,1,2,,
AmericanBlack,AmericanBlack,1,2,3,0,2,1,1,1,1,2,,
AmericanBlack,AmericanBlack,2,2,2,3,2,1,0,0,3,2,,
AmericanBlack,AmericanBlack,2,2,2,2,2,1,0,0,1,2,,
AmericanBlack,AmericanBlack,1,1,3,1,3,0,0,1,1,1,,
AmericanBlack,AmericanBlack,2,2,3,1,2,0,1,1,1,2,,
AmericanBlack,AmericanBlack,2,2,3,1,3,0,0,0,0,0,,
AmericanBlack,AmericanBlack,3,2,2,1,2,3,1,0,2,2,,
AmericanBlack,AmericanBlack,2,3,2,1,3,3,0,0,2,0,,
AmericanBlack,AmericanBlack,1,4,3,1,2,1,0,1,2,0,,
AmericanBlack,AmericanBlack,2,4,3,1,3,1,0,0,1,1,,
AmericanBlack,AmericanBlack,2,3,2,3,2,1,0,0,1,0,,
AmericanBlack,AmericanBlack,1,3,3,1,1,1,0,0,3,0,,
AmericanBlack,AmericanBlack,1,3,3,1,3,2,0,0,1,0,,
AmericanWhite,AmericanWhite,1,2,1,3,2,4,0,0,2,2,,
AmericanWhite,AmericanWhite,3,2,2,1,1,2,0,0,1,,,
AmericanWhite,AmericanWhite,3,3,2,1,1,4,1,0,2,,,
AmericanWhite,AmericanWhite,,3,2,2,2,3,0,0,2,2,,
AmericanWhite,AmericanWhite,1,3,2,1,1,3,0,0,,,,
AmericanWhite,AmericanWhite,1,3,2,2,1,4,0,0,1,1,,
AmericanWhite,AmericanWhite,1,3,2,3,1,4,1,,1,2,,
AmericanWhite,AmericanWhite,3,3,3,2,3,0,0,0,1,2,,
AmericanWhite,AmericanWhite,3,3,2,1,2,3,1,1,2,2,,
AmericanWhite,AmericanWhite,2,2,2,1,1,4,1,0,1,,,
AmericanWhite,AmericanWhite,2,3,2,3,1,2,0,0,2,,,
AmericanWhite,AmericanWhite,3,3,2,1,1,1,1,0,2,2,,
AmericanWhite,AmericanWhite,1,3,2,1,2,3,1,0,2,,,
AmericanWhite,AmericanWhite,1,3,3,1,3,3,1,0,3,2,,
AmericanWhite,AmericanWhite,3,4,2,1,1,0,0,0,,2,,
AmericanWhite,AmericanWhite,3,4,2,1,2,3,1,0,1,2,,
AmericanWhite,AmericanWhite,1,3,2,2,1,3,0,1,1,,,
AmericanWhite,AmericanWhite,2,4,2,1,1,4,0,0,1,,,
AmericanWhite,AmericanWhite,1,3,2,1,2,4,1,0,1,,,
AmericanWhite,AmericanWhite,2,2,2,1,2,0,0,0,1,2,,
AmericanWhite,AmericanWhite,2,2,1,2,2,4,1,0,3,2,,
AmericanWhite,AmericanWhite,2,4,2,2,1,4,1,0,1,2,,
AmericanWhite,AmericanWhite,3,4,2,2,1,3,,0,1,,,
AmericanWhite,AmericanWhite,2,2,2,1,1,3,,0,2,1,,
AmericanWhite,AmericanWhite,2,3,2,1,1,4,1,0,2,1,,
AmericanWhite,AmericanWhite,1,2,2,2,2,2,1,,1,1,,
AmericanWhite,AmericanWhite,2,3,2,1,1,3,1,0,1,1,,
AmericanWhite,AmericanWhite,3,4,2,3,1,3,1,0,1,,,
AmericanWhite,AmericanWhite,1,3,1,2,1,1,1,0,2,1,,
AmericanWhite,AmericanWhite,3,4,1,2,1,2,0,0,1,1,,
AmericanWhite,AmericanWhite,2,4,2,3,1,4,0,0,1,1,,
AmericanWhite,AmericanWhite,3,4,2,2,1,2,1,0,1,1,,
AmericanWhite,AmericanWhite,3,3,1,1,2,3,0,0,1,2,,
AmericanWhite,AmericanWhite,,3,2,3,1,2,0,0,2,1,,
AmericanWhite,AmericanWhite,1,2,2,1,3,4,,0,2,2,,
AmericanWhite,AmericanWhite,3,4,2,2,1,4,0,,2,1,,
AmericanWhite,AmericanWhite,2,4,1,2,2,3,1,0,3,1,,
AmericanWhite,AmericanWhite,3,4,2,3,1,3,1,0,1,,,
AmericanWhite,AmericanWhite,3,3,1,2,1,4,1,0,2,1,,
AmericanWhite,AmericanWhite,2,1,2,1,1,2,1,0,2,,,
AmericanWhite,AmericanWhite,2,4,1,1,1,4,0,0,1,2,,
AmericanWhite,AmericanWhite,3,3,2,1,1,4,0,,1,2,,
AmericanWhite,AmericanWhite,3,3,2,3,1,4,0,1,2,1,,
AmericanWhite,AmericanWhite,1,2,2,2,2,1,0,,1,1,,
AmericanWhite,AmericanWhite,1,4,1,1,2,4,0,0,2,2,,
AmericanWhite,AmericanWhite,3,4,2,3,1,3,0,0,1,1,,
AmericanWhite,AmericanWhite,1,1,1,3,2,2,0,,2,2,,
AmericanWhite,AmericanWhite,1,4,2,1,3,1,1,1,1,2,,
AmericanWhite,AmericanWhite,2,3,1,2,1,3,1,0,1,,,
AmericanWhite,AmericanWhite,1,2,1,3,2,1,0,1,3,2,,
AmericanWhite,AmericanWhite,1,3,3,1,3,1,1,0,1,1,,
AmericanWhite,AmericanWhite,3,3,2,1,2,3,0,,1,2,,
AmericanWhite,AmericanWhite,2,1,2,1,3,2,0,0,2,1,,
AmericanWhite,AmericanWhite,1,3,2,1,1,4,0,0,1,2,,
AmericanWhite,AmericanWhite,3,4,2,1,1,4,0,0,2,1,,
AmericanWhite,AmericanWhite,2,4,2,3,1,2,1,1,1,2,,
AmericanWhite,AmericanWhite,,4,2,3,1,3,,0,2,2,,
AmericanWhite,AmericanWhite,3,4,1,1,2,4,1,0,1,2,,
AmericanWhite,AmericanWhite,2,3,1,2,1,1,1,0,2,2,,
AmericanWhite,AmericanWhite,2,3,1,1,2,3,0,0,1,1,,
AmericanWhite,AmericanWhite,2,3,2,1,1,3,0,,2,1,,
AmericanWhite,AmericanWhite,3,3,2,3,1,4,1,0,1,,,
AmericanWhite,AmericanWhite,3,3,2,1,1,4,0,0,2,2,,
AmericanWhite,AmericanWhite,1,2,2,2,2,4,0,0,1,2,,
AmericanWhite,AmericanWhite,3,4,1,1,2,4,1,,1,,,
AmericanWhite,AmericanWhite,3,3,2,2,2,0,0,0,2,1,,
AmericanWhite,AmericanWhite,3,4,2,1,1,3,0,0,1,1,,
AmericanWhite,AmericanWhite,1,3,2,1,2,3,0,0,1,2,,
AmericanWhite,AmericanWhite,3,2,1,1,2,3,0,,1,1,,
AmericanWhite,AmericanWhite,1,3,3,2,3,0,1,0,1,1,,
AmericanWhite,AmericanWhite,2,4,1,3,2,3,1,0,2,2,,
AmericanWhite,AmericanWhite,1,3,2,2,3,3,0,,2,1,,
AmericanWhite,AmericanWhite,2,3,2,2,2,4,1,0,,2,,
AmericanWhite,AmericanWhite,2,4,2,2,1,4,0,1,1,1,,
AmericanWhite,AmericanWhite,2,3,1,1,2,1,0,,1,2,,
AmericanWhite,AmericanWhite,3,4,2,1,1,4,0,0,1,,,
AmericanWhite,AmericanWhite,2,3,2,3,2,2,0,0,1,2,,
AmericanWhite,AmericanWhite,,2,1,2,2,4,0,1,2,,,
AmericanWhite,AmericanWhite,3,4,2,1,1,4,1,0,1,,,
AmericanWhite,AmericanWhite,3,4,1,1,2,3,1,1,1,1,,
AmericanWhite,AmericanWhite,1,4,2,3,3,3,1,0,1,1,,
AmericanWhite,AmericanWhite,3,3,1,2,1,3,1,1,1,0,,
AmericanWhite,AmericanWhite,3,2,1,1,1,2,0,0,2,2,,
AmericanWhite,AmericanWhite,1,3,3,1,3,1,1,1,1,1,,
AmericanWhite,AmericanWhite,3,3,2,1,1,4,0,1,1,1,,
AmericanWhite,AmericanWhite,2,3,3,1,3,1,0,0,1,1,,
AmericanWhite,AmericanWhite,3,3,2,1,1,3,,,1,2,,
AmericanWhite,AmericanWhite,1,4,2,3,1,2,1,0,1,1,,
AmericanWhite,AmericanWhite,3,3,1,1,2,1,1,0,1,1,,
AmericanWhite,AmericanWhite,2,4,2,1,2,2,,1,1,,,
AmericanWhite,AmericanWhite,3,4,2,3,1,2,1,0,1,2,,
AmericanWhite,AmericanWhite,3,2,1,2,1,1,1,0,2,2,,
AmericanWhite,AmericanWhite,3,4,2,1,2,2,0,,1,,,
AmericanWhite,AmericanWhite,1,3,1,1,1,4,,0,1,,,
AmericanWhite,AmericanWhite,1,3,2,1,1,4,1,1,2,1,,
AmericanWhite,AmericanWhite,3,3,1,2,2,2,1,,1,2,,
AmericanWhite,AmericanWhite,2,4,2,1,2,1,1,0,1,2,,
AmericanWhite,AmericanWhite,1,2,2,1,1,3,1,0,2,1,,
AmericanWhite,AmericanWhite,2,2,1,3,1,2,1,1,1,0,,
AmericanWhite,AmericanWhite,3,2,1,1,2,0,,0,2,1,,
AmericanWhite,AmericanWhite,1,3,2,1,1,1,0,0,3,1,,
AmericanWhite,AmericanWhite,3,2,1,1,2,1,0,1,1,2,,
AmericanWhite,AmericanWhite,2,4,1,2,1,1,1,0,1,1,,
AmericanWhite,AmericanWhite,3,3,1,2,2,2,0,0,1,1,,
AmericanWhite,AmericanWhite,3,3,1,2,2,4,0,1,1,,,
AmericanWhite,AmericanWhite,3,4,2,1,3,3,0,,2,,,
AmericanWhite,AmericanWhite,1,4,1,1,2,4,0,0,2,1,,
AmericanWhite,AmericanWhite,2,3,2,1,1,1,0,,1,2,,
AmericanWhite,AmericanWhite,1,4,1,3,1,2,0,0,1,2,,
AmericanWhite,AmericanWhite,2,3,2,2,1,4,0,0,2,1,,
AmericanWhite,AmericanWhite,1,4,2,1,1,4,,0,2,2,,
AmericanWhite,AmericanWhite,1,3,1,2,1,4,,0,2,1,,
AmericanWhite,AmericanWhite,2,2,1,1,2,3,1,0,2,2,,
AmericanWhite,AmericanWhite,2,4,2,1,2,3,0,0,1,2,,
